# Dated milestones shown on the site's timeline and on each record's page.
# One row per dated event. Every row needs a source.
#   record_id: status.csv parcel_label, or an approximate project's geometry file stem (e.g. prequel_park_port_subarea)
#   date:      YYYY-MM or YYYY-MM-DD
#   status:    optional; set it when the event changes the record's status (complete, under_construction, planned, existing, being_removed)
#   expected:  yes = a planned/targeted date, not yet happened
#   approximate: yes = only the year (or a range) is sourced; shown as "~YYYY"
record_id,date,status,text,source,expected,approximate
mission_rock_china_basin_park,2024-04-26,complete,"China Basin Park opens, the first of Mission Rock's open spaces",sfyimby.com,no,no
pier70_building_101,2020-12,complete,"Rehab of Buildings 101, 102, 104, 122 and 123 completed in stages, ~2017–2020",SF Planning HPC packet 2013.1168E,no,yes
pier70_building_102,2020-12,complete,"Rehab of Buildings 101, 102, 104, 122 and 123 completed in stages, ~2017–2020",SF Planning HPC packet 2013.1168E,no,yes
pier70_building_104,2020-12,complete,"Rehab of Buildings 101, 102, 104, 122 and 123 completed in stages, ~2017–2020",SF Planning HPC packet 2013.1168E,no,yes
potrero_block_15,2020-10-22,,Planning Commission approves adaptive reuse of the 1901 turbine hall,SF Planning Commission approval packet,no,no
pier70_building_101,2022-05,,RH San Francisco opens in Building 101,en.wikipedia.org/wiki/Building_101_(San_Francisco),no,no
8719A008,2023-01,complete,Temporary certificate of occupancy issued,"Port of SF memo, Oct 2023",no,no
8719C003,2023-06,complete,Temporary certificate of occupancy issued,"Port of SF memo, Oct 2023",no,no
8719C001,2024-04,,Leasing starts,sfyimby.com,no,no
8719A008,2024-04,,"Visa moves in, up to 1,500 employees",henninglarsen.com,no,no
8719C001,2024-06,complete,Opens: 254 homes,sfyimby.com,no,no
8719B002,2024-06-24,complete,Opening ceremony marks Mission Rock’s official opening,mvrdv.com,no,no
# Noonan Building was taken off the active maps 2026-09-16 (existing building slated for demolition, no
# future-state parcel of its own -- see approximate_projects.csv). Its dated event is kept here, commented
# out, so it can be restored with the record rather than lost:
# noonan_building,2024-12,,About 40 working artists leave the building,sfchronicle.com,no,yes
prequel_park_port_subarea,2025-06-19,,BCDC permit amendment issued,BCDC Application 2019.006.02,no,no
4232020,2025-08,complete,Construction completed,"Port of SF, Calendar Item 10A",no,no
4232020,2025-10,,Residents move in: 105 affordable homes,sfyimby.com,no,no
prequel_park_port_subarea,2025-11-18,,Port Commission approves lease amendment (Res. 25-70),sfport.com,no,no
4114010,2026-01-27,,"General Catalyst signs a 70,000 sq ft office lease",therealdeal.com,no,no
4175027,2026-02,under_construction,Foundation excavation underway,sfyimby.com,no,no
8719C003,2026-03,,"Nvidia’s 45,000 sq ft lease begins","The Real Deal, Nov 2025",no,yes
pier70_e3,2026-09-19,,Elevation Sky Park public opening event scheduled,businesswire.com,yes,no
8711029B,2027-02,under_construction,Phase I construction targeted to start,SF Spring 2026 Development Forecast,yes,yes
prequel_park_port_subarea,2027-08,complete,Public opening targeted (Q3 2027),"Port of SF, Calendar Item 10A",yes,yes
8711029B,2028-01,,Phase II construction targeted,SF Spring 2026 Development Forecast,yes,yes
4175027,2028-10,complete,Completion expected (late 2028),sfyimby.com,yes,yes
8722025,2019-09-06,complete,Chase Center opens,en.wikipedia.org/wiki/Chase_Center,no,no
8719007,2015-04-16,complete,Grand opening of the Public Safety Building,sfpublicworks.org,no,no
8719003,2020-11,under_construction,HomeRise at Mission Bay breaks ground,homerisesf.org,no,no
